category,accuracy,Number of PCs
total,0.9431137724550899,5
isolated,1.0,5
connected,0.9558823529411765,5
merged,0.6428571428571429,5
total,0.9565868263473054,5
isolated,1.0,5
connected,0.9818181818181818,5
merged,0.6219512195121951,5
total,0.9491017964071856,5
isolated,1.0,5
connected,0.9533678756476683,5
merged,0.6222222222222222,5
total,0.9610778443113772,5
isolated,1.0,5
connected,0.9621621621621622,5
merged,0.6027397260273972,5
total,0.9461077844311377,5
isolated,1.0,5
connected,0.9617486338797814,5
merged,0.6071428571428571,5
total,0.9565868263473054,5
isolated,1.0,5
connected,0.9513513513513514,5
merged,0.578125,5
total,0.9461077844311377,5
isolated,1.0,5
connected,0.9782608695652174,5
merged,0.6226415094339622,5
total,0.9640718562874252,5
isolated,1.0,5
connected,0.9748743718592965,5
merged,0.5319148936170213,5
total,0.9595808383233533,5
isolated,1.0,5
connected,0.9554455445544554,5
merged,0.6349206349206349,5
total,0.9520958083832335,5
isolated,1.0,5
connected,0.9583333333333334,5
merged,0.6666666666666666,5
total,0.9595808383233533,5
isolated,1.0,5
connected,0.9545454545454546,5
merged,0.6458333333333334,5
total,0.9610778443113772,5
isolated,1.0,5
connected,0.9696969696969697,5
merged,0.6666666666666666,5
total,0.9595808383233533,5
isolated,1.0,5
connected,0.9675675675675676,5
merged,0.5625,5
total,0.9491017964071856,5
isolated,1.0,5
connected,0.9640718562874252,5
merged,0.6346153846153846,5
total,0.9625748502994012,5
isolated,1.0,5
connected,0.9740932642487047,5
merged,0.6226415094339622,5
total,0.9625748502994012,5
isolated,1.0,5
connected,0.9583333333333334,5
merged,0.5319148936170213,5
total,0.9550898203592815,5
isolated,1.0,6
connected,0.9685863874345549,6
merged,0.6875,6
total,0.968562874251497,6
isolated,1.0,6
connected,0.9635416666666666,6
merged,0.5818181818181818,6
total,0.9550898203592815,6
isolated,1.0,6
connected,0.9608938547486033,6
merged,0.6610169491525424,6
total,0.9595808383233533,6
isolated,1.0,6
connected,0.967391304347826,6
merged,0.6071428571428571,6
total,0.9580838323353293,6
isolated,1.0,6
connected,0.9723756906077348,6
merged,0.640625,6
total,0.9580838323353293,6
isolated,1.0,6
connected,0.9623655913978495,6
merged,0.5454545454545454,6
total,0.9520958083832335,6
isolated,1.0,6
connected,0.9705882352941176,6
merged,0.5573770491803278,6
total,0.9520958083832335,6
isolated,1.0,6
connected,0.9619565217391305,6
merged,0.5238095238095238,6
total,0.9595808383233533,6
isolated,1.0,6
connected,0.984375,6
merged,0.49056603773584906,6
total,0.9550898203592815,6
isolated,1.0,6
connected,0.9790575916230366,6
merged,0.6721311475409836,6
total,0.9640718562874252,6
isolated,1.0,6
connected,0.9884393063583815,6
merged,0.5849056603773585,6
total,0.9640718562874252,6
isolated,1.0,6
connected,0.9732620320855615,6
merged,0.6346153846153846,6
total,0.9640718562874252,6
isolated,1.0,6
connected,0.9796954314720813,6
merged,0.6724137931034483,6
total,0.9655688622754491,6
isolated,1.0,6
connected,0.9621621621621622,6
merged,0.5862068965517241,6
total,0.9535928143712575,6
isolated,1.0,6
connected,0.975609756097561,6
merged,0.7083333333333334,6
total,0.9715568862275449,6
isolated,1.0,6
connected,0.9795918367346939,6
merged,0.5,6
total,0.9550898203592815,6
isolated,1.0,6
connected,0.989247311827957,6
merged,0.515625,6
total,0.9505988023952096,6
isolated,1.0,6
connected,0.9840425531914894,6
merged,0.6212121212121212,6
total,0.9580838323353293,6
isolated,1.0,6
connected,0.9631578947368421,6
merged,0.4444444444444444,6
total,0.9520958083832335,6
isolated,1.0,6
connected,0.9559748427672956,6
merged,0.6071428571428571,6
total,0.9565868263473054,6
